Company,Job_name,Applicants,Job_level,Employees,Followers,Industry,Job_type,City,State,Country,Unrequired
JLL,Technical Executive,2,Associate,10001+,1627082,Real Estate,Full-time,Bengaluru,Karnataka,India,12
NTT DATA Services,Business Operations Analyst,81,Entry level,10001+,476060,IT Services and IT Consulting,Full-time,Bengaluru,Karnataka,India,12
Target,Sr Item Data Specialist,3,Mid-Senior level,10001+,1641065,Retail,Full-time,Bengaluru,Karnataka,India,12
ANZ,Engineer,29,Entry level,10001+,575389,Banking,Full-time,Bengaluru,Karnataka,India,12
Citi,Business Analytics Analyst,72,Entry level,10001+,3969089,Financial Services,Full-time,Bengaluru,Karnataka,India,12
Wells Fargo,Lead Data Management Analyst,1,Mid-Senior level,10001+,2087385,Financial Services,Full-time,Bengaluru,Karnataka,India,12
Bayer,Associate - Invoice Processing,82,Entry level,10001+,4698143,Chemical Manufacturing,Full-time,Bengaluru,Karnataka,India,12
Wells Fargo,Lead Data Management Analyst,1,Mid-Senior level,10001+,2087385,Financial Services,Full-time,Bengaluru,Karnataka,India,12
Accenture in India,Corporate Mobility Tax Associate,11,Entry level,10001+,1558780,IT Services and IT Consulting,Full-time,Bengaluru,Karnataka,India,12
Bajaj Finserv,Assistant Manager - Debt Management Services - SME(JR00105538),4,Entry level,10001+,914083,Financial Services,Full-time,Kolar,Karnataka,India,12
HP,Senior Analytics Data Engineer,22,Mid-Senior level,10001+,5168340,IT Services and IT Consulting,Full-time,Bengaluru,Karnataka,India,12
Bayer,Senior Associate - PI,30,Mid-Senior level,10001+,4698143,Chemical Manufacturing,Full-time,Bengaluru,Karnataka,India,12
Bajaj Finserv,Cluster Manager - Urban Two Wheeler/Senior Cluster Manager - Urban Two Wheeler(JR00105607),10,Entry level,10001+,914083,Financial Services,Full-time,Bengaluru,Karnataka,India,12
JLL,Technical Executive,0,Associate,10001+,1627082,Real Estate,Full-time,Bengaluru,Karnataka,India,12
JLL,Technical Executive,0,Associate,10001+,1627082,Real Estate,Full-time,Bengaluru,Karnataka,India,12
Bajaj Finserv,Assistant Manager - Professional Loans(JR00105537),3,Entry level,10001+,914083,Financial Services,Full-time,Malappuram,Kerala,India,12
HP,Bus Operations Associate IV,25,Associate,10001+,5168340,IT Services and IT Consulting,Full-time,Bengaluru,Karnataka,India,12
Wells Fargo,Lead Data Management Analyst,1,Mid-Senior level,10001+,2087385,Financial Services,Full-time,Bengaluru,Karnataka,India,12
Wells Fargo,Lead Data Management Analyst,1,Mid-Senior level,10001+,2087385,Financial Services,Full-time,Bengaluru,Karnataka,India,12
Bajaj Finserv,Assistant Manager - Debt Management Services - Rural(JR00105552),3,Entry level,10001+,914083,Financial Services,Full-time,Pune,Maharashtra,India,12
Bajaj Finserv,Assistant Manager - Debt Management Services - Rural(JR00105554),0,Entry level,10001+,914083,Financial Services,Full-time,Pune,Maharashtra,India,12
Bajaj Finserv,Executive - Debt Management Services - Rural(JR00105582),1,Entry level,10001+,914083,Financial Services,Full-time,Gokak,Karnataka,India,12
NTT,Network Engineer,31,Entry level,10001+,128755,IT Services and IT Consulting,Full-time,Gurgaon,Haryana,India,12
ZF Group,Specialist,30,Mid-Senior level,10001+,915680,Motor Vehicle Manufacturing,Full-time,Chennai,Tamil Nadu,India,12
DBS Bank,Channel relationship manager,9,Entry level,10001+,802246,Banking,Full-time,Vijayawada,Andhra Pradesh,India,12
BD,Design Engineer,34,Entry level,10001+,761251,Medical Equipment Manufacturing,Full-time,Bengaluru,Karnataka,India,12
Bajaj Finserv,Assistant Manager - Debt Management Services - Rural(JR00105553),0,Entry level,10001+,914083,Financial Services,Full-time,Pune,Maharashtra,India,12
Accenture in India,CN - MC - STRATEGY - RESOURCES - T&D - UTILITIES - 09,3,Mid-Senior level,10001+,1558780,IT Services and IT Consulting,Full-time,Bengaluru,Karnataka,India,12
Citi,EMEA Trade Operations - CTF C09,9,Entry level,10001+,3969089,Financial Services,Full-time,Mumbai,Maharashtra,India,12
Bajaj Finserv,Unit Manager - Business Loans/Senior Unit Manager - Business Loans(JR00105564),0,Entry level,10001+,914083,Financial Services,Full-time,Pune,Maharashtra,India,12
Syneos Health Commercial Solutions,Senior Scrum Master,55,Mid-Senior level,10001+,152503,Biotechnology Research,Full-time,Bengaluru,Karnataka,India,12
Shell,Data Account and Assets Analyst,0,Entry level,10001+,6146712,Oil and Gas,Full-time,Chennai,Tamil Nadu,India,12
Wells Fargo,Lead Data Management Analyst,0,Mid-Senior level,10001+,2087385,Financial Services,Full-time,Hyderabad,Telangana,India,12
State Street,DB/ETL Testing - Senior Associate,0,Entry level,10001+,467954,Financial Services,Full-time,Bengaluru,Karnataka,India,12
Citi,C05 – Ops Sup Specialist,1,Entry level,10001+,3969089,Financial Services,Full-time,Chennai,Tamil Nadu,India,12
Citi,C05 – Ops Sup Specialist,1,Entry level,10001+,3969089,Financial Services,Full-time,Chennai,Tamil Nadu,India,12
Citi,C05 – Ops Sup Specialist,4,Entry level,10001+,3969089,Financial Services,Full-time,Chennai,Tamil Nadu,India,12
